,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Date
79,6190558.75,5937103.48,5798920.26,5759207.44,5858984.88,6110349.81,6234618.45,6712966.43,7254597.24,7638807.38,7921027.06,8099218.38,8041788.66,7812115.05,7622037.0,7506343.44,7390109.35,7325197.43,8293050.94,8696712.09,8381528.51,7735462.0,7126035.11,6418378.97,2015-03-21
80,5982949.83,5713123.48,5575108.72,5472824.58,5474957.93,5509122.03,5304543.17,5613858.04,6056281.88,6395938.28,6702291.44,6890297.15,6925613.63,6787584.15,6665498.82,6574841.67,6485359.33,6501837.54,7485974.88,8008966.92,7808485.23,7276592.22,6722245.5,6238603.9,2015-03-22
81,5866456.03,5630115.24,5464483.43,5378992.16,5407338.53,5475424.31,5335870.28,5670122.44,6175860.42,6712060.9,7211869.78,7504882.32,7597327.92,7486808.58,7354165.46,7223582.86,7141439.64,7062704.6,8037834.3,8528940.73,8264453.97,7711113.83,6873273.71,6329978.88,2015-03-23
82,5917062.36,5730869.12,5628400.0,5637462.68,5956379.18,6647394.66,6749533.37,7091222.45,7605397.08,8128415.15,8567883.38,8913865.95,8638620.7,8703398.33,8817507.5,8777695.78,8628156.83,8412173.06,9200099.62,9487792.6,9169139.94,8585783.32,7656190.01,6832739.7,2015-03-24
83,6342340.99,6138384.74,5977797.45,5932154.99,6127182.8,6555573.05,6772010.81,7281029.83,7799577.47,8227528.3,8685062.13,8881086.51,8661958.99,8663043.39,8776743.63,8746489.14,8583964.11,8355696.65,9112722.02,9444289.61,9162491.18,8563967.24,7629903.95,6756501.46,2015-03-25
84,6351723.22,6149798.45,6009364.29,5965397.18,6219324.89,6877308.01,6994633.62,7304761.07,7796036.47,8022024.7,8507660.53,8770492.8,8583004.83,8721970.11,8930738.98,8902435.84,8705557.09,8555549.35,9198602.42,9618869.89,9308918.95,8629841.83,7661929.11,6892220.72,2015-03-26
85,6468899.61,6235355.27,6084353.15,6048487.94,6342983.39,6921091.14,7060172.88,7454405.2,7972976.42,8324217.63,8620169.72,8903487.27,8737407.03,8802294.02,9019619.01,9023683.83,8839361.76,8438128.45,9179270.05,9596742.26,9242366.2,8632181.04,7854672.71,7114858.81,2015-03-27
86,6681228.84,6397561.01,6171321.39,6133673.65,6284471.55,6415168.6,6557352.05,7122799.63,7687024.32,8034815.12,8345039.19,8549479.09,8412010.0,8264461.42,8078289.78,7953381.79,7718278.52,7747171.18,8696271.17,9004435.22,8735618.97,8162153.42,7373450.58,6793712.21,2015-03-28
87,6376072.3,6085783.92,5864092.82,5780855.56,5743387.54,5711542.36,5646721.18,5945640.25,6357907.38,6620852.79,6786646.31,6939054.23,6954109.67,6926616.91,6737267.66,6563763.16,6503741.95,6674522.07,7784195.66,8161764.76,7933000.59,7525280.22,6901191.2,6327265.29,2015-03-29
88,5949854.59,5757208.05,5579866.98,5542254.62,5727919.33,6044501.58,6306934.58,6904127.57,7595016.32,8132879.77,8473882.78,8635938.67,8567049.5,8505360.94,8483929.49,8425830.61,8384017.64,8307497.48,8948702.59,9229953.96,8971881.1,8418363.36,7466113.36,6637187.2,2015-03-30
